ticker,name,sector,price,market_cap_b,pe,pb,roe,revenue_growth,momentum_20d,momentum_60d,volatility_20d,dividend_yield
001399,N惠科,深市A股,48.35,352.85,0.00,13.36,0.00,0.00,377.77,377.77,377.77,0.00
301349,信德新材,创业板,75.60,10.77,197.59,3.90,0.00,0.00,20.00,20.00,20.00,0.00
300162,雷曼光电,创业板,12.13,5.09,-121.30,6.16,0.00,0.00,19.98,19.98,19.98,0.00
301051,信濠光电,创业板,20.96,5.96,-14.16,3.05,0.00,0.00,19.98,19.98,19.98,0.00
300260,新莱应材,创业板,95.20,38.82,216.36,18.07,0.00,0.00,17.37,17.37,17.37,0.00
300540,蜀道装备,创业板,29.46,6.70,110.96,5.86,0.00,0.00,15.89,15.89,15.89,0.00
688272,富吉瑞,科创板,38.24,2.91,-35.41,7.29,0.00,0.00,15.46,15.46,15.46,0.00
688156,路德科技,科创板,29.83,3.00,-42.61,3.88,0.00,0.00,14.86,14.86,14.86,0.00
688596,正帆科技,科创板,53.54,15.75,111.54,4.34,0.00,0.00,14.28,14.28,14.28,0.00
300088,长信科技,创业板,11.75,29.35,146.88,3.38,0.00,0.00,14.19,14.19,14.19,0.00
300749,顶固集创,创业板,27.25,5.59,681.25,10.15,0.00,0.00,13.21,13.21,13.21,0.00
688584,上海合晶,科创板,32.80,21.95,172.63,5.28,0.00,0.00,12.29,12.29,12.29,0.00
688349,三一重能,科创板,14.91,23.76,25.38,1.65,0.00,0.00,12.02,12.02,12.02,0.00
300382,斯莱克,创业板,21.33,13.83,-213.30,6.08,0.00,0.00,11.97,11.97,11.97,0.00
300243,瑞丰高材,创业板,23.18,6.48,178.31,5.84,0.00,0.00,11.82,11.82,11.82,0.00
688102,斯瑞新材,科创板,45.03,35.17,225.15,18.01,0.00,0.00,11.68,11.68,11.68,0.00
301236,软通动力,创业板,41.53,42.99,188.77,3.22,0.00,0.00,11.67,11.67,11.67,0.00
300102,乾照光电,创业板,24.66,22.70,205.50,5.22,0.00,0.00,11.28,11.28,11.28,0.00
300592,华凯易佰,创业板,16.66,6.74,43.84,2.81,0.00,0.00,11.14,11.14,11.14,0.00
688409,富创精密,科创板,254.02,77.78,-8467.33,17.21,0.00,0.00,10.93,10.93,10.93,0.00
688359,三孚新科,科创板,191.10,18.87,-382.20,30.03,0.00,0.00,10.86,10.86,10.86,0.00
688818,电科蓝天,科创板,70.21,121.95,335.61,22.33,0.00,0.00,10.39,10.39,10.39,0.00
300877,金春股份,创业板,31.30,3.76,41.73,2.23,0.00,0.00,10.10,10.10,10.10,0.00
600545,卓郎智能,沪市A股,7.10,12.69,-20.68,4.84,0.00,0.00,10.08,10.08,10.08,0.00
601016,节能风电,沪市A股,3.94,25.79,37.17,1.45,0.00,0.00,10.06,10.06,10.06,0.00
603861,白云电器,沪市A股,14.25,7.70,35.62,1.92,0.00,0.00,10.04,10.04,10.04,0.00
601226,华电科工,沪市A股,7.35,8.54,54.69,1.97,0.00,0.00,10.03,10.03,10.03,0.00
002129,TCL中环,深市A股,11.19,45.24,-4.83,2.26,0.00,0.00,10.03,10.03,10.03,0.00
603903,中持股份,沪市A股,12.84,3.28,-31.32,2.29,0.00,0.00,10.03,10.03,10.03,0.00
605366,宏柏新材,沪市A股,14.38,11.11,-62.52,4.15,0.00,0.00,10.02,10.02,10.02,0.00
