ticker,name,sector,price,market_cap_b,pe,pb,roe,revenue_growth,momentum_20d,momentum_60d,volatility_20d,dividend_yield
02272.HK,科拓股份,软件服务,115.10,11.64,108.19,9.32,0.00,0.00,191.02,191.02,191.02,0.00
01956.HK,中科闻歌,软件服务,110.40,19.11,-99.03,31.83,0.00,0.00,81.88,81.88,81.88,0.00
09630.HK,芯碁微装,工业工程,446.60,64.57,166.61,21.48,0.00,0.00,76.71,76.71,76.71,0.00
02650.HK,挚达科技,工业工程,14.98,4.48,-24.69,3.36,0.00,0.00,32.92,32.92,32.92,0.00
01540.HK,澳狮环球,工用支援,0.51,0.25,8.91,0.82,0.00,0.00,29.11,29.11,29.11,0.00
01153.HK,佳源服务,地产,0.38,0.26,1.79,-149.54,0.00,0.00,26.67,26.67,26.67,0.00
03661.HK,圣邦股份,半导体,104.70,70.67,103.78,10.49,0.00,0.00,22.89,22.89,22.89,0.00
02372.HK,伟立控股,工用支援,1.10,0.88,-193.86,3.85,0.00,0.00,22.22,22.22,22.22,0.00
01290.HK,中国汇融,其他金融,0.62,0.68,11.61,0.32,0.00,0.00,19.23,19.23,19.23,0.00
02442.HK,怡俊集团控股,建筑,77.30,31.54,-4043.38,145.36,0.00,0.00,19.20,19.20,19.20,0.00
01758.HK,博骏教育,支援服务,0.13,0.12,-0.67,3.59,0.00,0.00,18.75,18.75,18.75,0.00
01064.HK,中华国际,地产,0.07,0.05,-3.60,0.17,0.00,0.00,16.67,16.67,16.67,0.00
01156.HK,CHINANEWENERGY,工业工程,0.24,0.14,-4.82,-7.78,0.00,0.00,16.59,16.59,16.59,0.00
01205.HK,中信资源,石油及天然气,0.54,4.24,24.87,0.48,0.00,0.00,14.89,14.89,14.89,0.00
01269.HK,首控集团,汽车,0.04,0.07,-0.19,-0.03,0.00,0.00,14.71,14.71,14.71,0.00
00721.HK,中国金融国际-新,其他金融,0.17,0.38,-26.98,11.75,0.00,0.00,14.47,14.47,14.47,0.00
00063.HK,中亚烯谷集团,地产,0.05,0.33,32.41,0.66,0.00,0.00,13.04,13.04,13.04,0.00
02562.HK,狮腾控股,专业零售,1.52,0.70,-2.25,1.53,0.00,0.00,12.59,12.59,12.59,0.00
02954.HK,佳兆业健康,其他医疗保健,2.41,0.25,-5.35,30.12,0.00,0.00,12.09,12.09,12.09,0.00
01225.HK,隆成金融,其他金融,0.26,0.06,0.72,0.18,0.00,0.00,12.07,12.07,12.07,0.00
01831.HK,十方控股,媒体及娱乐,0.67,0.72,-15.24,-18.58,0.00,0.00,11.67,11.67,11.67,0.00
09978.HK,方圆生活服务,地产,0.26,0.10,-1.79,-4.58,0.00,0.00,11.59,11.59,11.59,0.00
02178.HK,百勤油服,石油及天然气,0.16,0.27,11.76,1.35,0.00,0.00,11.27,11.27,11.27,0.00
00776.HK,帝国科技集团,软件服务,0.55,0.25,-6.39,-1.87,0.00,0.00,11.11,11.11,11.11,0.00
01633.HK,上谕集团,建筑,0.41,0.28,-13.18,1.89,0.00,0.00,10.67,10.67,10.67,0.00
01620.HK,富盈环球集团,旅游及消闲设施,0.11,0.13,12.01,11.62,0.00,0.00,10.00,10.00,10.00,0.00
00458.HK,联亚集团,纺织及服饰,2.00,0.55,4.37,0.39,0.00,0.00,9.89,9.89,9.89,0.00
00805.HK,新吉奥房车,汽车,5.23,5.02,147.14,13.38,0.00,0.00,9.87,9.87,9.87,0.00
09857.HK,柠萌影视,媒体及娱乐,2.06,0.75,21.57,0.29,0.00,0.00,9.57,9.57,9.57,0.00
02250.HK,小黄鸭德盈,媒体及娱乐,0.34,0.35,-3.97,3.63,0.00,0.00,9.52,9.52,9.52,0.00
