ticker,name,sector,price,market_cap_b,pe,pb,roe,revenue_growth,momentum_20d,momentum_60d,volatility_20d,dividend_yield
DPC,DPC Holdings PLC,工业,46.88,6.49,-38.87,-27.39,0.00,0.00,42.06,42.06,42.06,0.00
MEI,Methode Electronics Inc,信息技术,18.00,0.64,-17.88,0.94,0.00,0.00,37.51,37.51,37.51,0.00
BNED,Barnes & Noble Education Inc,非日常生活消费品,13.43,0.46,-47.90,1.59,0.00,0.00,20.13,20.13,20.13,0.00
BB,黑莓,信息技术,10.34,6.06,101.34,8.07,0.00,0.00,19.95,19.95,19.95,0.00
ZIP,ZipRecruiter Inc-A,信息技术,3.97,0.32,-13.00,-3.86,0.00,0.00,19.94,19.94,19.94,0.00
AYI,Acuity Inc,工业,359.39,10.76,22.78,3.77,0.00,0.00,17.64,17.64,17.64,0.00
SLAI,SOLAI Ltd ADR,信息技术,0.46,0.01,-0.44,0.50,0.00,0.00,14.28,14.28,14.28,0.00
CTEV,Claritev Corp-A,金融,34.72,0.59,-2.07,-2.45,0.00,0.00,13.87,13.87,13.87,0.00
WGO,温尼巴格实业,非日常生活消费品,30.88,0.87,22.67,0.71,0.00,0.00,13.24,13.24,13.24,0.00
GLW,康宁,信息技术,228.01,196.23,108.42,16.61,0.00,0.00,10.78,10.78,10.78,0.00
ZKH,震坤行,非日常生活消费品,2.57,0.41,-33.90,0.97,0.00,0.00,9.83,9.83,9.83,0.00
STG,尚德机构,非日常生活消费品,4.48,0.06,1.14,0.41,0.00,0.00,9.54,9.54,9.54,0.00
SI,Shoulder Innovations Inc,医疗保健,21.61,0.45,-10.17,3.37,0.00,0.00,9.31,9.31,9.31,0.00
OII,国际海洋工程,能源,39.37,3.93,11.57,3.55,0.00,0.00,8.49,8.49,8.49,0.00
NRGV,Energy Vault Holdings Inc,公用事业,4.26,0.76,-6.61,24.91,0.00,0.00,8.40,8.40,8.40,0.00
SRFM,Surf Air Mobility Inc,工业,0.91,0.09,-0.81,-1.61,0.00,0.00,8.13,8.13,8.13,0.00
GMRS,GMR Solutions Inc-A,工业,14.65,0.79,2.88,1.57,0.00,0.00,7.80,7.80,7.80,0.00
VSH,威世科技,信息技术,59.91,8.15,3579.50,3.93,0.00,0.00,7.77,7.77,7.77,0.00
RVTY,Revvity Inc,医疗保健,113.53,12.67,52.84,1.76,0.00,0.00,7.48,7.48,7.48,0.00
MTW,马尼托沃克,工业,14.46,0.52,69.23,0.76,0.00,0.00,7.35,7.35,7.35,0.00
MOH,Molina Healthcare Inc,医疗保健,216.04,11.26,59.87,2.76,0.00,0.00,7.26,7.26,7.26,0.00
WBI,WaterBridge Infrastructure LLC-,能源,30.36,3.75,273.77,5.71,0.00,0.00,7.24,7.24,7.24,0.00
ATMU,Atmus Filtration Technologies I,非日常生活消费品,54.17,4.42,20.96,10.96,0.00,0.00,6.87,6.87,6.87,0.00
ONTO,Onto Innovation Inc,信息技术,344.24,17.12,160.92,8.03,0.00,0.00,6.83,6.83,6.83,0.00
HRI,Herc Holdings Inc,工业,153.00,5.11,-1021.83,2.69,0.00,0.00,6.82,6.82,6.82,0.00
AROC,Archrock Inc,能源,41.40,7.26,22.31,4.78,0.00,0.00,6.73,6.73,6.73,0.00
STVN,Stevanato Group SpA,医疗保健,18.39,5.02,30.03,2.86,0.00,0.00,6.67,6.67,6.67,0.00
XPRO,Expro Group Holdings NV,能源,13.96,1.58,43.13,1.04,0.00,0.00,6.65,6.65,6.65,0.00
HAE,美国血液技术,医疗保健,77.62,3.53,36.25,4.43,0.00,0.00,6.52,6.52,6.52,0.00
BIO,Bio Rad实验室-A,医疗保健,298.29,7.98,47.29,1.17,0.00,0.00,6.51,6.51,6.51,0.00
GHM,Graham Corp,工业,122.83,1.44,114.88,10.23,0.00,0.00,6.51,6.51,6.51,0.00
GTES,Gates Industrial Corp plc,工业,29.02,7.37,29.59,2.19,0.00,0.00,6.50,6.50,6.50,0.00
HNGE,Hinge Health Inc-A,工业,75.14,5.81,-11.39,18.66,0.00,0.00,6.49,6.49,6.49,0.00
PLOW,Douglas Dynamics Inc,工业,53.54,1.24,23.31,4.43,0.00,0.00,6.42,6.42,6.42,0.00
